2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=a, originalLang=, translatedText=, targetLang=en, time=2024/08/07 01:06:51, status=403, message=INVALID LANGUAGE PAIR SPECIFIED. EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:06:51 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=a, originalLanguage=ru, finalLanguage=]
2024-08-07 01:06:51 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = a 
2024-08-07 01:06:51 INFO  c.t.services.TranslationServiceImpl - Request has received: word = a 
2024-08-07 01:06:51 ERROR c.t.services.TranslationServiceImpl - Something goes wrong with translation for word <a>, status is 403
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=a, originalLang=ru, translatedText=, targetLang=, time=2024/08/07 01:06:51, status=403, message=INVALID LANGUAGE PAIR SPECIFIED. EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:06:51 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=a, originalLanguage=ru, finalLanguage=null]
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=a, originalLang=ru, translatedText=, targetLang=null, time=2024/08/07 01:06:51, status=500, message=Translation went wrong because something from parameters is null!]
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:51 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:06:52 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=, originalLanguage=ru, finalLanguage=en]
2024-08-07 01:06:52 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word =  
2024-08-07 01:06:52 INFO  c.t.services.TranslationServiceImpl - Request has received: word =  
2024-08-07 01:06:52 ERROR c.t.services.TranslationServiceImpl - Something goes wrong with translation for word <>, status is 403
2024-08-07 01:06:52 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=, originalLang=ru, translatedText=, targetLang=en, time=2024/08/07 01:06:52, status=403, message=NO QUERY SPECIFIED. EXAMPLE REQUEST: GET?Q=HELLO&LANGPAIR=EN|IT]
2024-08-07 01:06:52 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:52 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:06:52 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=Любовь, originalLanguage=ru, finalLanguage=en]
2024-08-07 01:06:52 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = Любовь 
2024-08-07 01:06:53 INFO  c.t.services.TranslationServiceImpl - Request has received: word = Любовь 
2024-08-07 01:06:53 INFO  c.t.services.TranslationServiceImpl - Translation successfully completed
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=Любовь, originalLang=ru, translatedText=Love, targetLang=en, time=2024/08/07 01:06:53, status=200, message=Ok]
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:06:53 INFO  c.t.c.TranslationController - Response is sending to user
2024-08-07 01:06:53 INFO  c.t.c.TranslationController - Request from user has received: UserRequest[text=любовь, originalLanguage=ru, finalLanguage=by]
2024-08-07 01:06:53 INFO  c.t.services.TranslationServiceImpl - Sending translation request: word = любовь 
2024-08-07 01:06:53 INFO  c.t.services.TranslationServiceImpl - Request has received: word = любовь 
2024-08-07 01:06:53 ERROR c.t.services.TranslationServiceImpl - Something goes wrong with translation for word <любовь>, status is 403
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=37.215.139.173, originalText=любовь, originalLang=ru, translatedText=, targetLang=by, time=2024/08/07 01:06:53, status=403, message='BY' IS AN INVALID TARGET LANGUAGE . EXAMPLE: LANGPAIR=EN|IT USING 2 LETTER ISO OR RFC3066 LIKE ZH-CN. ALMOST ALL LANGUAGES SUPPORTED BUT SOME MAY HAVE NO CONTENT]
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:06:53 INFO  com.tinkoff_lab.dao.TranslationDAO - Query has been successfully recorded
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Start writing to database of query: Translation[ip=null, originalText=null, originalLang=null, translatedText=null, targetLang=null, time=null, status=200, message=Ok]
2024-08-07 01:07:24 INFO  com.tinkoff_lab.dao.TranslationDAO - Connection with database established
2024-08-07 01:07:24 ERROR com.tinkoff_lab.dao.TranslationDAO - Insertion of query in database goes wrong!
